text,label
Verify your account immediately or it will be suspended. Click https://login.secure-verify.example.com,phish
Your Amazon package has shipped. Track here: https://amazon.com/orders,ham
URGENT: Your password expires today. Login now to avoid deactivation.,phish
Team meeting moved to 3pm. Agenda attached.,ham
Payment overdue. Send a gift card code to settle invoice.,phish
Class reminder: homework due Friday.,ham
Congratulations! You won a reward. Claim at http://prizes.free-now.co,phish
Lunch tomorrow?,ham
Security check required: verify identity at https://secure-check.example.net/login,phish
Thanks for your help today. See you at practice.,ham
Limited time offerâ€”confirm your bank details to avoid account lock.,phish
Invoice attached for August services.,ham
"Password reset requested. If this wasnâ€™t you, login here to cancel.",phish
"Project update: milestone reached, no action needed.",ham
Apple Support: unusual activityâ€”confirm your credentials now.,phish
Reminder: doctor appointment on Thursday 2pm.,ham
Your mailbox is almost full. Verify now to increase storage.,phish
Can you review the slides before class?,ham
Overdue paymentâ€”send BTC to the following address.,phish
Schedule change: lab moved to Room 204.,ham
Microsoft alert: sign in to keep your account active.,phish
Dinner at 7?,ham
Claim your prize immediately: http://free-reward.xyz/win,phish
Meeting notes attached from todayâ€™s standup.,ham
URGENT: Your mailbox is full. Verify now at http://203.88.145.22/login,phish
Apple Support: unusual activity detected. Reset your password here: https://apple-secure-check.net,phish
PayPal Security Alert: confirm your identity at https://bit.ly/secure-paypal,phish
Your Netflix account has been suspended. Update billing info immediately.,phish
HR: New salary bonus available. Sign in with your credentials to claim.,phish
Microsoft Admin: verify your email password to keep your account active.,phish
Amazon Order Problem: please enter card details to continue shipment.,phish
Final Warning: failure to act will lock your account. Click here.,phish
You have won a $500 Walmart gift card. Enter details at http://freeprize-now.co,phish
Security notice: unusual login attempt. Verify here: http://login-safe365.info,phish
Bank of America Alert: update credentials to avoid account closure.,phish
Overdue invoice — send BTC to wallet: 1Df4s9hkj23… to settle now,phish
Your Paychex payroll is paused. Click to authenticate at https://tinyurl.com/hrverify,phish
Verify shipping address to release your package: http://shipping-confirm.co,phish
"Password reset request. If this wasn’t you, log in here to cancel.",phish
University IT: revalidate your student ID to maintain access.,phish
Claim your free tax refund. Enter SSN and bank routing now.,phish
Final notice: confirm your Microsoft 365 password or account is disabled.,phish
Attached invoice requires immediate payment. (attachment: invoice.zip),phish
"Google Docs: someone shared a file, login to view: http://googledrive-login.co",phish
Your Amazon order has shipped. Track: https://www.amazon.com/gp/css/order-history,ham
Zoom invite: https://us06web.zoom.us/j/94532167890,ham
Google Drive share: https://drive.google.com/file/d/1abcXYZ/view,ham
GitHub PR updated: https://github.com/org/repo/pull/123,ham
University payment portal: https://bursar.university.edu/pay,ham
DocuSign envelope complete: https://www.docusign.net/Member/PowerFormSigning.aspx,ham
Stripe receipt: https://dashboard.stripe.com/payments/pi_12345,ham
Slack invite: https://join.slack.com/t/teamname/shared_invite/xyz,ham
FedEx tracking: https://www.fedex.com/apps/fedextrack/?tracknumbers=123456789012,ham
Bank statement available: https://secure.bank.com/login,ham
Canvas assignment posted: https://canvas.instructure.com/courses/123/assignments/456,ham
Outlook meeting details: https://outlook.office.com/calendar/item/ABCDEF,ham
Your Amazon package has shipped: https://www.amazon.com/progress-tracker,ham
Zoom link for tomorrow’s lecture: https://us06web.zoom.us/j/123456789,ham
Google Calendar invite: https://calendar.google.com/event?eid=abc123,ham
Canvas course announcement: https://canvas.instructure.com/courses/456/announcements,ham
FedEx tracking number: https://www.fedex.com/fedextrack/?trknbr=123456789,ham
Microsoft Teams meeting invite: https://teams.microsoft.com/l/meetup-join/xyz,ham
Bank of America e-statement ready: https://www.bankofamerica.com/login,ham
PayPal receipt: https://www.paypal.com/activity/payment/12345,ham
Github issue assigned: https://github.com/org/repo/issues/42,ham
Dropbox file shared: https://www.dropbox.com/s/abc123/project.pdf,ham
DocuSign document completed: https://www.docusign.net/Member/Envelope.aspx,ham
Spotify family plan receipt: https://www.spotify.com/account/receipt,ham
Slack workspace invite: https://join.slack.com/t/teamname/shared_invite/123,ham
University tuition payment portal: https://bursar.university.edu/pay,ham
Outlook event details: https://outlook.office.com/calendar/item/12345,ham
Starbucks rewards update: https://www.starbucks.com/account/rewards,ham
Stripe payment confirmation: https://dashboard.stripe.com/payments/pi_67890,ham
LinkedIn connection accepted: https://www.linkedin.com/in/example,ham
Coursera certificate available: https://www.coursera.org/account/accomplishments/certificate/abc123,ham
Grubhub order confirmation: https://www.grubhub.com/order/123456,ham
Twitter security notice: https://twitter.com/settings/security,ham
Uber trip receipt: https://riders.uber.com/trips/abc123,ham
Eventbrite ticket QR code: https://www.eventbrite.com/e/987654321,ham
Apple subscription renewal: https://appleid.apple.com/account/billing,ham
Google Docs shared: https://docs.google.com/document/d/1abcXYZ/view,ham
Reminder: practice moved to 7pm tonight.,ham
Meeting tomorrow at 3pm in Room 201.,ham
